FIPS,x,y,pop,cancer,poverty,smoking,PM25,NO2,SO2
13111,1056523.936,1376613.19,116485,72,15.92,15.92,27.93,0.98,0.06
42115,1653442.064,2267301.476,194008.4,59,12.22,12.22,26.97,1.50,0.03
42075,1633708.275,2096683.059,232863.8,61,8.99,8.99,25.27,3.62,0.12
51683,1584048.852,1901443.401,535115.3333,62,7.86,7.86,22.90,3.62,0.12
36057,1735811.102,2409536.493,41523.73333,59,14.75,14.75,27.18,1.63,0.01
13149,1003646.751,1193901.75,143675.5333,86,17.51,17.51,30.21,1.63,0.14
37153,1463896.202,1452940.213,664190.4667,79,21.93,21.93,29.48,1.49,0.02
51735,1716542.533,1743450.717,1497229.867,61,4.65,4.65,21.23,2.52,0.06
37003,1320295.845,1533038.997,30575.53333,64,12.67,12.67,27.77,1.79,0.09
37063,1520852.145,1580156.875,150363.5333,65,14.81,14.81,19.58,1.94,0.06
36093,1768117.621,2407434.527,134009.2667,62,11.25,11.25,23.79,2.09,0.01
51590,1463355.628,1632109.561,269055.7333,72,21.37,21.37,29.71,2.11,0.13
51600,1597510.11,1916180.732,59110.26667,41,5.57,5.57,15.58,4.15,0.13
51530,1445710.523,1759556.916,31159.26667,61,13.17,13.17,31.70,1.67,0.03
37181,1555147.596,1623916.995,762991.9333,79,22.22,22.22,29.66,1.74,0.06
13003,1240686.99,999295.872,264758.6,93,24.16,24.16,28.29,0.64,0.01
51081,1622534.834,1672340.575,69885.33333,78,20.35,20.35,28.42,1.58,0.04
36015,1568845.615,2286060.403,15358.06667,73,14.36,14.36,26.11,1.64,0.04
51790,1462544.758,1811357.668,41482.93333,63,13.55,13.55,25.05,1.51,0.03
37157,1434932.939,1605912.888,15139.86667,78,14.53,14.53,31.10,2.30,0.11
13119,1161855.577,1335144.383,12212.06667,72,16.57,16.57,27.51,1.39,0.03
42001,1581875.064,2029400.655,15129.26667,56,7.60,7.60,24.32,3.29,0.11
51540,1514326.824,1806985.039,15903.46667,53,19.77,19.77,23.19,1.98,0.03
24510,1644880.387,1977469.45,28211.66667,87,20.96,20.96,28.99,5.19,0.15
42105,1485798.53,2224296.623,49881.13333,68,13.48,13.48,27.00,1.64,0.06
13173,1227378.725,968358.8725,148159.8667,89,21.01,21.01,28.51,0.65,0.01
13169,1151573.414,1181611.119,212402.4,62,11.69,11.69,24.82,1.47,0.14
36109,1584749.021,2324857.448,1000141.133,52,15.81,15.81,16.21,1.78,0.03
36053,1638111.937,2388843.96,31610.13333,67,10.93,10.93,24.83,1.85,0.01
37007,1432790.709,1443984.99,43482.66667,66,20.93,20.93,28.37,1.69,0.03
37195,1611858.913,1559545.423,13030.26667,71,19.19,19.19,25.69,1.70,0.02
54077,1385413.786,1946823.68,33917.33333,62,16.44,16.44,28.66,2.40,0.25
51089,1420848.109,1636040.467,289636.8,65,14.69,14.69,30.15,1.86,0.09
51099,1622210.598,1854839.183,515488.6667,74,6.79,6.79,21.59,2.95,0.13
42047,1431155.363,2177641.106,231466,64,8.88,8.88,27.59,1.74,0.12
42053,1381551.31,2178527.873,34299.8,74,17.63,17.63,30.00,2.32,0.12
13247,1099839.163,1245707.827,9227.533333,62,11.69,11.69,22.44,3.78,0.14
42079,1653351.821,2193500.035,50732.13333,65,12.33,12.33,28.85,2.43,0.08
36005,1834509.187,2196946.254,297794.2,45,27.97,27.97,23.25,11.64,0.04
42113,1604588.651,2214031.262,281457.8,63,12.98,12.98,26.99,1.61,0.09
42021,1444689.53,2074193.143,415170.6,57,13.27,13.27,26.95,3.10,0.26
45037,1285877.942,1284646.665,2100227.933,58,18.08,18.08,26.04,1.29,0.02
42037,1622394.822,2172315.89,73048.86667,56,12.45,12.45,25.78,2.70,0.12
51003,1508276.716,1804173.952,80705.13333,53,7.73,7.73,16.53,1.75,0.03
37151,1445280.416,1529734.553,161239.5333,71,13.18,13.18,28.75,2.30,0.06
36021,1816659.884,2353655.649,148900.7333,64,10.28,10.28,23.51,2.06,0.01
34023,1800141.087,2141559.363,940669.8,53,7.13,7.13,18.71,6.87,0.05
13175,1218893.132,1127443.529,351125.4667,70,20.53,20.53,25.95,0.85,0.03
13133,1179492.3,1247682.041,1139302.867,60,20.29,20.29,25.23,1.34,0.10
13017,1201807.39,1045952.93,862379.0667,96,23.05,23.05,28.69,0.65,0.01
13277,1177578.936,1008758.602,492269.2,70,21.71,21.71,26.18,0.71,0.01
13065,1262954.262,959490.1139,79146.93333,104,23.44,23.44,29.10,0.60,0.01
51570,1623811.322,1739869.115,168152.1333,72,7.57,7.57,28.40,2.80,0.08
37081,1439791.529,1570775.945,228333,61,14.43,14.43,23.27,2.71,0.09
51640,1330087.373,1619263.778,164751.4,79,19.75,19.75,31.58,1.33,0.04
51670,1631867.742,1744490.814,362448.8,101,16.51,16.51,32.39,3.25,0.08
13023,1181765.025,1119115.174,36593.13333,85,17.57,17.57,27.90,0.88,0.04
13029,1363361.497,1097965.828,20045.06667,92,10.56,10.56,23.75,0.95,0.01
13109,1319776.971,1107445.306,70794,75,23.98,23.98,28.53,0.83,0.01
13171,1097548.858,1180372.835,29059.8,80,16.29,16.29,28.17,1.68,0.13
13195,1167461.434,1307970.612,46038.6,85,14.76,14.76,27.47,1.34,0.04
51720,1176211.402,1625932.365,22256.53333,87,19.53,19.53,31.21,2.21,0.06
51830,1683120.473,1752365.459,16508.66667,48,18.91,18.91,17.67,2.52,0.07
36043,1681804.141,2456217.556,8362.866667,60,13.16,13.16,25.12,1.20,0.01
36007,1643936.98,2304050.692,9786,58,14.11,14.11,23.95,1.69,0.02
51750,1353126.639,1674729.088,9165.466667,78,23.04,23.04,22.77,1.92,0.03
54047,1253566.396,1687978.492,41740.86667,106,34.47,34.47,34.96,1.17,0.04
54033,1329015.139,1916161.457,20466.66667,84,17.37,17.37,28.00,2.95,0.21
54007,1310840.99,1846926.185,61820.8,78,21.61,21.61,30.93,1.65,0.10
13021,1142177.553,1155786.935,17246.6,75,21.44,21.44,25.35,1.34,0.10
51550,1731568.728,1694759.535,36191.46667,72,8.19,8.19,21.59,2.39,0.04
36049,1634724.239,2487703.529,135466.8,61,13.64,13.64,26.77,1.52,0.01
37029,1746713.975,1664623.636,12670,66,9.47,9.47,23.39,1.66,0.02
42007,1305889.304,2071193.128,16791.53333,65,10.99,10.99,27.33,5.27,0.31
13009,1179525.219,1190286.64,17076.93333,68,20.95,20.95,26.47,1.32,0.12
42025,1682297.897,2170140.233,31166.8,68,10.06,10.06,29.45,3.41,0.07
13177,1115419.382,1036903.959,58621.73333,77,9.93,9.93,24.68,0.88,0.01
24011,1720531.915,1943797.185,22351.4,80,11.59,11.59,25.52,4.19,0.08
13083,949876.9767,1363028.669,42539.53333,90,14.03,14.03,26.56,2.03,0.10
13131,1119076.387,935895.365,20207,77,22.20,22.20,27.09,0.65,0.01
54089,1317582.555,1729447.166,96257.13333,70,24.83,24.83,30.33,1.38,0.04
13143,989780.5921,1248202.62,53692.4,89,17.00,17.00,30.25,1.59,0.20
13227,1048750.481,1330599.247,41133.53333,74,11.53,11.53,26.41,1.53,0.12
42109,1574275.135,2130545.407,218855.6667,52,10.56,10.56,25.57,3.13,0.14
51690,1421799.935,1636136.484,15079.33333,80,20.13,20.13,28.96,1.85,0.09
36017,1652705.228,2344047.232,40234.53333,63,14.20,14.20,26.09,1.44,0.02
13275,1149153.54,938437.0275,176182.4667,78,20.18,20.18,25.81,0.67,0.01
37041,1717104.377,1631166.367,97149.66667,69,18.55,18.55,26.01,1.30,0.02
37169,1394188.124,1599626.409,33005.73333,77,11.91,11.91,30.93,1.99,0.09
54069,1294167.135,2002786.432,222646.0667,76,15.28,15.28,28.37,4.55,0.41
51775,1393922.749,1700093.235,83260.33333,71,8.75,8.75,26.53,2.21,0.03
51630,1593702.528,1852059.96,576673.6,69,14.90,14.90,24.49,2.72,0.11
13097,1031382.337,1242709.45,40694.66667,73,10.76,10.76,24.77,2.91,0.21
37069,1571748.504,1594889.666,49723.73333,72,14.10,14.10,26.08,1.71,0.04
13139,1109248.869,1321624.535,97824.33333,62,13.34,13.34,24.87,1.56,0.05
37149,1242895.468,1448685.554,25681.73333,53,12.36,12.36,23.83,1.76,0.06
13243,1058282.459,1027981.069,99048.13333,69,27.06,27.06,27.09,0.72,0.01
13283,1252655.898,1125410.716,13920.86667,86,26.59,26.59,29.05,0.70,0.02
37109,1323677.525,1484314.988,21763.93333,66,11.67,11.67,26.35,2.46,0.12
36035,1731906.788,2432891.232,16007.66667,65,14.28,14.28,27.59,1.35,0.01
36097,1553949.123,2311832.582,21116.93333,67,12.37,12.37,25.81,1.77,0.04
37077,1535005.921,1613210.202,110868.8,76,13.83,13.83,27.15,1.76,0.08
51730,1625527.449,1733268.28,592231.6667,97,20.62,20.62,29.53,2.50,0.07
13101,1248348.27,934440.3294,19471.6,73,23.71,23.71,28.59,0.67,0.01
42009,1473184.117,2023798.399,24519.86667,52,11.93,11.93,26.83,2.84,0.16
13189,1243553.429,1245820.702,94242.8,94,19.45,19.45,28.29,1.41,0.05
13081,1148323.713,1057203.733,102680.6667,78,27.51,27.51,27.83,0.81,0.01
51710,1730261.754,1719321.773,10440.6,78,19.39,19.39,25.39,2.62,0.05
51065,1535867.509,1788758.043,8208,55,6.97,6.97,23.19,1.84,0.04
37001,1474728.089,1572762.401,43231.4,69,13.50,13.50,27.00,2.30,0.08
13179,1361780.107,1076726.915,20499.2,76,17.19,17.19,25.43,0.89,0.01
13239,1032302.684,1036603.891,11987.46667,93,23.99,23.99,28.83,0.76,0.02
51137,1549999.877,1837565.678,31082.8,68,9.05,9.05,25.83,2.20,0.06
54017,1301653.502,1910050.185,100027.1333,76,19.32,19.32,31.53,3.16,0.22
13201,1068274.984,962213.1331,93727,78,21.99,21.99,26.77,0.66,0.01
34011,1768774.33,2011919.092,129503.1333,70,15.23,15.23,28.11,3.49,0.05
13135,1095759.988,1279796.436,125273.8,53,9.27,9.27,19.23,3.24,0.10
42019,1337590.339,2102567.407,752647,59,8.33,8.33,23.40,4.38,0.29
36091,1776076.011,2442465.765,23552,63,6.59,6.59,21.13,2.02,0.00
37107,1646302.997,1513043.27,11427.86667,73,20.23,20.23,27.35,1.49,0.01
13215,1037083.188,1109400.014,70331.2,74,17.92,17.92,24.95,0.97,0.04
42077,1699112.311,2138770.953,47560.06667,56,10.37,10.37,24.29,4.45,0.07
13089,1079948.559,1256389.654,22970.2,52,15.01,15.01,18.88,4.49,0.14
51183,1642946.115,1704445.424,87333.26667,84,19.41,19.41,27.91,1.91,0.06
51840,1517023.255,1936981.425,635948,78,13.45,13.45,27.11,2.99,0.08
37093,1509167.122,1462165.108,52512.2,82,17.87,17.87,27.17,1.60,0.02
42083,1429885.045,2220922.964,144707.6667,73,14.33,14.33,28.53,1.47,0.07
45061,1434148.183,1352336.958,11718,81,26.19,26.19,29.29,1.34,0.04
45051,1552375.47,1345424.088,27181,70,15.16,15.16,29.99,1.07,0.03
37031,1742993.493,1485548.212,27958.06667,75,12.75,12.75,26.84,0.82,0.01
45005,1354654.169,1206555.333,22554.8,72,35.26,35.26,27.75,0.95,0.02
37039,1075668.387,1409410.991,24452.2,69,17.09,17.09,27.97,0.96,0.05
36027,1820406.179,2298754.25,164858.1333,60,8.10,8.10,21.64,2.40,0.02
13223,1019493.25,1265907.639,112931.2,74,7.59,7.59,25.84,2.62,0.22
13117,1082914.224,1307948.074,13700.53333,52,5.60,5.60,18.55,1.84,0.09
42131,1643088.775,2230410.228,12943.73333,64,10.86,10.86,26.07,2.19,0.06
54075,1378205.378,1816237.449,14455.73333,74,17.68,17.68,28.21,0.93,0.04
13053,1047514.925,1092319.577,15819,88,18.64,18.64,20.63,0.79,0.03
54019,1291852.933,1767655.85,8504.4,95,21.61,21.61,31.49,1.63,0.07
54101,1339894.375,1828331.821,11438.06667,89,27.11,27.11,31.51,1.12,0.06
37185,1580830.177,1632431.425,25494.86667,61,22.88,22.88,27.21,1.62,0.05
13191,1375560.829,1041347.409,15900.26667,69,19.59,19.59,27.81,0.72,0.01
13311,1111168.399,1358919.711,43948.73333,61,13.81,13.81,24.91,1.22,0.04
51153,1585461.893,1896563.543,31537.53333,62,5.58,5.58,20.53,3.24,0.11
37085,1534801.605,1506770.297,56072.53333,76,16.22,16.22,27.13,1.68,0.02
45067,1516215.834,1357000.88,8408.866667,79,24.65,24.65,28.66,1.22,0.03
36123,1530166.579,2334378.468,22969.33333,64,14.02,14.02,24.79,1.72,0.04
13267,1305712.571,1092823.631,90508.2,92,25.60,25.60,28.50,0.75,0.01
13321,1145798.959,1015128.398,25954.06667,71,19.61,19.61,27.99,0.80,0.01
45035,1440375.919,1230614.934,20035,64,11.23,11.23,24.41,1.24,0.04
36069,1509820.646,2355302.693,13045.8,64,8.85,8.85,21.54,1.93,0.04
13057,1050761.13,1306115.374,15791.46667,61,6.90,6.90,22.27,2.47,0.15
13161,1255596.036,1058523.507,24549.26667,99,20.23,20.23,27.54,0.67,0.01
13069,1239676.066,1027479.846,9962.4,74,22.31,22.31,27.85,0.64,0.01
36073,1427249.188,2384624.13,20238.46667,69,12.96,12.96,28.18,3.33,0.04
36101,1515917.072,2289805.219,8473.733333,73,14.04,14.04,25.55,1.43,0.04
34021,1780222.646,2119053.231,23288.66667,54,9.12,9.12,19.91,5.28,0.06
13255,1081737.822,1199158.137,22457.06667,78,18.62,18.62,28.10,1.94,0.15
54051,1294707.942,1976028.343,9741.8,74,15.62,15.62,30.71,4.18,0.39
54029,1290225.113,2050386.631,19441.8,77,12.44,12.44,30.70,4.89,0.33
42133,1621663.153,2043017.974,58718.93333,59,8.05,8.05,24.27,3.75,0.13
37115,1186006.548,1505916.697,170627.2,64,16.97,16.97,27.21,1.26,0.05
37133,1676336.57,1460888.579,78574.73333,80,15.22,15.22,26.54,0.99,0.01
54013,1274478.73,1857390.209,27394.93333,87,22.74,22.74,32.95,2.14,0.18
51125,1484760.238,1773042.453,22125.26667,70,11.76,11.76,24.68,1.61,0.03
51680,1466332.778,1725627.038,106366.2667,73,18.91,18.91,25.04,1.82,0.04
13281,1108099.219,1389069.294,16828.46667,61,13.90,13.90,24.79,0.83,0.03
13225,1133468.486,1127832.389,19065.33333,90,21.42,21.42,25.57,1.13,0.06
51063,1373699.002,1656374.609,36081.8,49,12.24,12.24,26.48,1.36,0.05
36029,1397300.328,2323592.893,17925.4,67,13.28,13.28,24.31,2.89,0.06
13151,1091082.441,1221936.754,4120.6,68,7.79,7.79,22.53,2.97,0.16
51520,1222120.615,1597141.253,33274.73333,94,18.80,18.80,28.81,2.10,0.05
54065,1501884.099,1978349.929,181188.9333,80,12.14,12.14,29.80,3.23,0.10
51103,1693664.731,1807551.068,69288.2,66,13.46,13.46,23.46,1.77,0.06
36121,1439265.332,2324433.93,5871.866667,60,10.36,10.36,27.29,1.90,0.05
42081,1561950.648,2193635.395,14142.8,61,12.75,12.75,26.19,2.32,0.10
51017,1406203.336,1789944.572,15515.2,69,9.01,9.01,27.05,1.36,0.03
51131,1752689.964,1775435.961,56927.53333,94,19.73,19.73,25.65,2.28,0.04
37057,1407800.143,1532761.676,22943.8,73,13.05,13.05,28.97,2.69,0.08
37155,1528493.411,1422787.013,9316.2,78,27.67,27.67,31.03,1.49,0.02
42097,1602057.96,2145493.006,29338.33333,63,12.42,12.42,28.09,2.72,0.15
42121,1341070.721,2158752.11,6161.066667,72,14.47,14.47,29.29,3.26,0.15
51197,1311583.651,1644628.34,9192,72,13.61,13.61,29.03,1.19,0.03
54045,1221701.597,1734554.266,14326.06667,120,22.09,22.09,33.81,2.01,0.09
13213,1018911.294,1363530.392,42995,97,15.28,15.28,31.05,1.83,0.10
37013,1709880.255,1554745.801,37558.53333,77,18.39,18.39,25.45,1.27,0.01
37113,1132960.345,1418734.132,24320.53333,58,14.99,14.99,26.43,0.74,0.03
36009,1412014.758,2267732.697,9627.266667,64,14.83,14.83,27.32,1.83,0.06
36055,1471985.02,2381307.728,13695.8,58,13.01,13.01,21.50,3.02,0.04
34015,1757950.477,2048967.108,56543.8,74,6.80,6.80,24.17,5.46,0.05
13037,1073561.977,1003649.305,9323,81,30.94,30.94,26.66,0.75,0.01
54039,1248201.79,1795739.978,10641.13333,87,14.71,14.71,28.16,2.84,0.17
11001,1620145.774,1926595.621,20997.26667,62,17.80,17.80,22.08,5.45,0.15
45085,1427140.308,1323124.199,64509.8,68,17.94,17.94,26.52,1.37,0.05
51043,1533134.273,1933160.16,70085.06667,68,7.10,7.10,23.07,3.05,0.08
54021,1295165.507,1869902.771,31737.66667,71,23.97,23.97,29.19,2.06,0.15
34033,1743771.149,2031005.452,8023.333333,73,9.77,9.77,25.07,4.57,0.06
13193,1116496.715,1102091.278,21700.46667,73,27.01,27.01,28.45,1.01,0.04
13263,1066361.408,1134167.661,25288.2,84,20.86,20.86,26.70,0.92,0.06
13093,1142014.884,1082724.612,3074.666667,54,25.50,25.50,28.05,0.86,0.02
51133,1693700.158,1825328.974,8564.866667,63,12.88,12.88,24.09,1.92,0.07
37105,1505940.861,1513658.565,32453.53333,73,14.40,14.40,26.29,1.71,0.03
45027,1446754.817,1298002.946,83760,71,24.02,24.02,26.77,1.27,0.05
37127,1600385.578,1587248.999,9172.666667,70,15.25,15.25,25.60,1.64,0.02
51620,1676303.202,1683927.061,10500.26667,73,18.78,18.78,26.35,1.79,0.05
51049,1545565.804,1752895.876,11469.33333,67,15.27,15.27,27.97,1.77,0.05
51037,1519860.206,1691095.398,180001.7333,77,16.97,16.97,27.10,1.74,0.06
51115,1710730.906,1777230.966,128690.7333,60,8.99,8.99,24.13,1.88,0.05
51119,1686849.317,1794380.822,550427.2667,75,12.44,12.44,24.02,2.02,0.07
51015,1456078.917,1810843.496,694035.2667,63,8.23,8.23,25.95,1.49,0.03
54003,1523121.264,1971372.329,77609.13333,85,11.32,11.32,29.97,3.41,0.09
37163,1586724.023,1473472.829,47195.8,71,19.37,19.37,27.38,1.36,0.02
51117,1552612.154,1659453.181,152786.8,74,16.15,16.15,28.27,1.68,0.07
37035,1321432.026,1503977.361,99172.66667,69,12.14,12.14,25.78,2.25,0.11
13049,1318756.006,952508.0788,124041.4,83,23.03,23.03,30.75,0.75,0.02
37191,1611551.667,1520555.882,52680.86667,76,17.39,17.39,26.90,1.74,0.01
36023,1613685.107,2347274.963,196173.5333,65,14.45,14.45,24.92,1.69,0.02
37059,1376002.495,1542989.916,54710.6,60,10.05,10.05,25.97,2.33,0.09
13291,1086530.75,1376942.086,237471.8667,62,14.79,14.79,25.21,0.90,0.04
36037,1435433.15,2357644.153,239272,67,10.15,10.15,25.44,2.56,0.05
51159,1666241.838,1825977.972,131131.6,68,17.27,17.27,28.79,2.18,0.08
