"SiteID","long","lat"
1,-104.44425,39.95647999
2,-105.92723,37.60193997
3,-104.8406783,39.64298018
4,-104.5048701,39.61835
5,-104.42155,39.61246003
6,-106.87303,37.2699
7,-106.87303,37.2699
8,-102.80351,37.51671995
9,-102.80351,37.51671995
10,-102.80351,37.51671995
11,-102.5358976,37.64558925
12,-102.3766499,37.34450004
13,-102.3766499,37.34450004
14,-102.3766499,37.34450004
15,-105.46142,40.03581
16,-106.3109,38.71356001
17,-102.90466,38.82406998
18,-102.90466,38.82406998
19,-102.90466,38.82406998
20,-102.155362,38.96903104
21,-106.21958,36.99902004
22,-105.3156,37.18439003
23,-103.89461,38.31013995
24,-105.12488,38.06527002
25,-108.72642,37.82026002
26,-108.65148,37.73378
27,-108.65148,37.73378
28,-108.40023,37.65977995
29,-108.14849,37.74476
30,-104.6879828,39.15531456
31,-104.66926,39.50217996
32,-106.56149,39.91398996
33,-104.24721,39.14085996
34,-104.0096334,39.44205112
35,-103.8904025,39.44617792
36,-105.00798,38.97708999
37,-105.00798,38.97708999
38,-105.00798,38.97708999
39,-104.8102829,38.94078518
40,-104.729801,38.64987718
41,-104.53521,38.92890004
42,-104.16236,38.64345999
43,-104.16236,38.64345999
44,-104.16236,38.64345999
45,-104.0758277,38.95179339
46,-108.7419301,39.50625001
47,-107.47508,39.38085996
48,-107.1587126,39.80164283
49,-106.4483597,40.26143251
50,-106.1465254,40.0486135
51,-106.1465254,40.0486135
52,-106.1465254,40.0486135
53,-105.9317535,40.14864837
54,-107.49408,38.72136997
55,-107.09841,38.35968999
56,-106.91317,38.86514002
57,-106.8537529,38.65417059
58,-104.67445,37.72276998
59,-106.4575099,40.71411998
60,-106.4575099,40.71411998
61,-106.1199,40.39921003
62,-106.1199,40.39921003
63,-106.1199,40.39921003
64,-102.89763,38.58310996
65,-102.67776,38.49740996
66,-102.67776,38.49740996
67,-102.67776,38.49740996
68,-102.6443501,38.27468998
69,-102.2435201,38.39936997
70,-102.7579928,39.25470506
71,-102.7579928,39.25470506
72,-102.7579928,39.25470506
73,-102.54069,39.43278999
74,-106.3170502,39.2990562
75,-106.2548258,39.23014258
76,-107.8054999,37.53461064
77,-105.91983,40.79772
78,-105.4820954,40.84707337
79,-105.34428,40.57124
80,-104.9563264,40.7084946
81,-104.9098287,37.13303052
82,-104.60513,37.12013999
83,-103.57657,38.56455001
84,-103.14659,40.59711003
85,-103.14659,40.59711003
86,-103.14659,40.59711003
87,-103.08431,40.53503002
88,-103.05801,40.84219004
89,-103.05801,40.84219004
90,-108.79555,38.84402001
91,-108.60023,38.78655003
92,-108.60023,38.78655003
93,-108.60023,38.78655003
94,-108.2732,39.31705998
95,-107.6902901,39.32366083
96,-106.91402,37.69708001
97,-109.04304,40.44604002
98,-108.58555,40.30018003
99,-107.49241,40.36857003
100,-107.5538373,40.8313209
101,-108.9170101,37.58697
102,-108.9170101,37.58697
103,-108.9170101,37.58697
104,-108.3863301,37.42488002
105,-108.27773,37.39972997
106,-108.38184,38.41630002
107,-107.65141,38.64693999
108,-103.6054301,40.08761002
109,-103.6054301,40.08761002
110,-103.6054301,40.08761002
111,-103.98769,37.87116003
112,-108.102805,38.33221505
113,-107.6901151,38.05305846
114,-105.9184542,39.27477929
115,-105.6483947,38.84398147
116,-105.6483947,38.84398147
117,-105.6483947,38.84398147
118,-102.4377199,40.62343996
119,-102.37958,40.48980997
120,-102.2723,40.49724001
121,-102.4668099,37.95591004
122,-107.86129,39.89588998
123,-107.86129,39.89588998
124,-107.86129,39.89588998
125,-107.79405,40.14522996
126,-107.3869142,40.07326332
127,-106.69851,37.53323004
128,-106.3666274,37.4135819
129,-106.0667734,37.56274856
130,-106.0667734,37.56274856
131,-107.3388286,40.32935812
132,-107.1205,40.72010003
133,-106.9405861,40.43805478
134,-106.5726943,38.2122891
135,-105.99534,38.11812997
136,-105.99534,38.11812997
137,-105.99534,38.11812997
138,-105.95476,38.17539998
139,-105.88127,37.79412996
140,-105.88127,37.79412996
141,-105.88127,37.79412996
142,-105.8886099,38.27434001
143,-107.6142869,37.82282172
144,-108.2472981,37.97617935
145,-108.2472981,37.97617935
146,-106.3113501,39.89649998
147,-103.2675293,39.74840781
148,-102.9093299,40.09418998
149,-104.83502,40.10837004
150,-104.49756,40.39664999
151,-104.49756,40.39664999
152,-104.49756,40.39664999
153,-104.4320164,40.91301225
154,-104.3802599,40.52391996
155,-102.74502,39.69928998
156,-102.6937791,40.00430678
157,-102.3079527,39.80422587
158,-102.3079527,39.80422587
159,-102.3079527,39.80422587
160,-95.18900004,37.93123002
161,-95.18900004,37.93123002
162,-95.18900004,37.93123002
163,-95.52098663,39.56081578
164,-98.69459998,37.03674999
165,-98.59475995,37.25646
166,-98.98737997,38.49327002
167,-98.98737997,38.49327002
168,-98.98737997,38.49327002
169,-98.66794825,38.49984551
170,-95.60391998,39.75304001
171,-95.60391998,39.75304001
172,-95.60391998,39.75304001
173,-95.37215319,39.88232889
174,-95.3651564,39.84798828
175,-96.92496006,37.65049002
176,-96.8533888,38.04864257
177,-96.70336784,37.54351069
178,-96.78932018,38.35691377
179,-96.56494231,38.43159248
180,-96.56494231,38.43159248
181,-96.56494231,38.43159248
182,-96.22429057,37.01525989
183,-101.8796,39.58041001
184,-101.8103584,39.7498984
185,-101.4684246,39.81329202
186,-100.00687,37.34108003
187,-100.00687,37.34108003
188,-100.00687,37.34108003
189,-97.71234598,39.4407911
190,-95.71590001,38.08414004
191,-100.4254345,39.63251235
192,-100.29245,39.76302998
193,-97.00732979,38.89842663
194,-95.01079355,39.81130609
195,-98.39495576,38.52128672
196,-97.96907004,38.60025001
197,-100.33519,38.17113004
198,-100.0318235,37.88073567
199,-99.63696448,37.58943012
200,-100.15742,39.00033
201,-100.10159,39.34804998
202,-99.92172998,39.23278997
203,-99.87967272,39.49799327
204,-99.87967272,39.49799327
205,-99.87967272,39.49799327
206,-100.561489,37.93107667
207,-96.16241035,37.98819214
208,-96.06479269,37.64499629
209,-96.06479269,37.64499629
210,-101.76923,37.74132429
211,-98.11371001,37.06444996
212,-98.05867,37.32921999
213,-98.05867,37.32921999
214,-98.05867,37.32921999
215,-101.0428947,37.55756279
216,-95.48475339,39.13829671
217,-98.41123116,39.7380801
218,-101.15766,37.92533999
219,-101.15766,37.92533999
220,-101.15766,37.92533999
221,-98.08104997,37.48510003
222,-99.32518632,37.62712736
223,-95.36933051,37.12323986
224,-100.46048,38.27724996
225,-100.4695101,38.56851003
226,-100.4695101,38.56851003
227,-100.4695101,38.56851003
228,-98.12000373,39.20715788
229,-101.3571524,38.96031369
230,-101.3571524,38.96031369
231,-101.3571524,38.96031369
232,-101.10436,38.74379004
233,-96.19007585,38.25740492
234,-97.70401999,38.32076997
235,-97.09350999,38.36187997
236,-96.35167998,39.96077997
237,-96.35167998,39.96077997
238,-95.80377321,37.22847609
239,-95.80377321,37.22847609
240,-95.80377321,37.22847609
241,-101.7652296,37.36698678
242,-101.7652296,37.36698678
243,-101.7652296,37.36698678
244,-101.5665095,37.34455443
245,-95.23890906,37.69142105
246,-99.99603296,39.78865799
247,-95.67702799,38.68061822
248,-95.55413379,38.67139262
249,-97.53615756,39.15506986
250,-99.53576499,38.27941818
251,-99.53576499,38.27941818
252,-99.53576499,38.27941818
253,-99.52685001,38.20008999
254,-96.17549,39.27077998
255,-97.63001227,39.8728028
256,-98.19079192,38.36273937
257,-96.54289699,39.13100059
258,-96.44198867,39.12880056
259,-96.44198867,39.12880056
260,-98.77331999,38.72389
261,-97.3132509,37.79084054
262,-100.72556,37.26948004
263,-95.93802996,39.08395001
264,-98.89445001,38.16624998
265,-98.89445001,38.16624998
266,-98.89445001,38.16624998
267,-98.69173,37.91554004
268,-101.3438,37.35149001
269,-97.70893997,37.28099
270,-97.70893997,37.28099
271,-97.70893997,37.28099
272,-97.19644216,37.17371279
273,-101.2430835,39.34007895
274,-101.2430835,39.34007895
275,-101.2430835,39.34007895
276,-101.0577289,39.30341897
277,-101.0577289,39.30341897
278,-101.0577289,39.30341897
279,-100.7569701,39.33566001
280,-99.67167424,39.04104102
281,-96.33322228,38.98470206
282,-96.33322228,38.98470206
283,-96.33322228,38.98470206
284,-96.13322776,39.01316029
285,-101.67567,38.77065997
286,-96.97578996,39.61054004
287,-95.73365173,37.95180619
288,-108.9326801,33.74429999
289,-108.9326801,33.74429999
290,-108.9326801,33.74429999
291,-108.81574,34.23429996
292,-108.5125,33.92053999
293,-108.33168,33.93475003
294,-108.2048,33.57103
295,-108.14311,34.33232003
296,-104.64518,33.78767
297,-104.64518,33.78767
298,-104.64518,33.78767
299,-104.2304354,33.39545406
300,-103.8283,33.11860998
301,-103.8349096,33.40276882
302,-108.76739,34.58749003
303,-108.63908,34.83308002
304,-108.55557,34.86664998
305,-108.28351,35.18532003
306,-105.3065901,36.32419
307,-105.3065901,36.32419
308,-105.3065901,36.32419
309,-105.07104,36.64201996
310,-105.07104,36.64201996
311,-105.07104,36.64201996
312,-104.58782,36.55658003
313,-103.3265797,34.74533808
314,-104.61908,34.52684997
315,-104.49469,34.39301996
316,-104.24586,34.57883002
317,-106.6227051,32.35368689
318,-106.61557,32.43872995
319,-104.68767,32.19851001
320,-104.03854,32.55819999
321,-108.65567,32.93703995
322,-108.65567,32.93703995
323,-108.58387,32.83797001
324,-108.45576,32.52865003
325,-107.94988,32.56750998
326,-105.15459,34.91246999
327,-103.9271945,36.10768446
328,-103.67941,35.61959
329,-108.92649,31.50637004
330,-108.9412498,31.93259307
331,-108.80374,32.31215996
332,-108.3606928,31.80685194
333,-103.72828,32.23849002
334,-103.65258,32.51794996
335,-103.55973,32.71555
336,-103.5108901,32.51749001
337,-103.44191,32.17824002
338,-103.44191,32.17824002
339,-103.44191,32.17824002
340,-103.2477301,33.08188999
341,-105.83837,33.69546003
342,-108.2003265,31.89556046
343,-107.7961699,32.38249996
344,-107.7961699,32.38249996
345,-107.64103,32.3615
346,-108.87446,35.82420002
347,-108.6669501,35.39574001
348,-108.55464,35.43468003
349,-108.54795,35.59700999
350,-108.08552,35.56516999
351,-108.08552,35.56516999
352,-108.08552,35.56516999
353,-104.8885933,35.77698536
354,-106.05588,32.50181003
355,-105.14362,32.27705996
356,-103.9802,34.64981996
357,-103.9802,34.64981996
358,-103.9802,34.64981996
359,-103.61216,35.04333002
360,-103.61216,35.04333002
361,-103.61216,35.04333002
362,-103.13627,35.25973002
363,-107.2091099,36.76942996
364,-106.76681,36.00556
365,-106.8159476,36.47266584
366,-106.8159476,36.47266584
367,-106.8159476,36.47266584
368,-106.75813,36.18893001
369,-106.14819,36.73188002
370,-103.73691,34.01008001
371,-103.73691,34.01008001
372,-103.73691,34.01008001
373,-103.6499,34.17697997
374,-103.6499,34.17697997
375,-103.6499,34.17697997
376,-103.47941,33.66632997
377,-103.47941,33.66632997
378,-103.47804,33.75996004
379,-103.47804,33.75996004
380,-103.47804,33.75996004
381,-103.12583,34.27362002
382,-107.45567,36.19736996
383,-107.45567,36.19736996
384,-107.45567,36.19736996
385,-107.20381,35.53069997
386,-107.06606,35.56297996
387,-107.06606,35.56297996
388,-107.06606,35.56297996
389,-106.6267187,35.37053719
390,-107.8391701,36.19569997
391,-107.73732,36.25985998
392,-107.72745,36.82076997
393,-105.30963,35.35360003
394,-107.52662,32.68857003
395,-107.458979,32.96574812
396,-107.7111713,33.90180413
397,-107.7111713,33.90180413
398,-107.66996,33.74433999
399,-107.65729,34.43335002
400,-107.65729,34.43335002
401,-107.27251,33.54363998
402,-107.27251,33.54363998
403,-107.27251,33.54363998
404,-107.26938,34.22490997
405,-107.26938,34.22490997
406,-107.26938,34.22490997
407,-107.16377,34.14520002
408,-107.0400895,34.00886667
409,-105.67646,36.84460002
410,-105.5018209,36.15044246
411,-105.5018209,36.15044246
412,-105.5018209,36.15044246
413,-105.79595,34.30743
414,-105.79595,34.30743
415,-105.79595,34.30743
416,-103.8466242,36.92004466
417,-103.3359566,36.73584955
418,-103.3359566,36.73584955
419,-103.3359566,36.73584955
420,-106.13759,41.38415003
421,-105.6393093,41.57095687
422,-106.0053099,43.53262998
423,-106.0053099,43.53262998
424,-106.0053099,43.53262998
425,-105.645,44.49573996
426,-105.3665901,44.40823997
427,-105.4009351,44.92136235
428,-107.63695,41.60886998
429,-107.32617,42.00721001
430,-106.9777,41.24550996
431,-106.9777,41.24550996
432,-106.7472,41.20587001
433,-106.89381,42.24819996
434,-106.89381,42.24819996
435,-106.89381,42.24819996
436,-106.74848,41.60065996
437,-106.62393,42.03544
438,-106.4807301,41.09741002
439,-106.5151801,41.37659
440,-106.47529,41.60027001
441,-106.14433,41.93471998
442,-106.14433,41.93471998
443,-106.16178,42.19086995
444,-105.8784099,42.80001004
445,-105.8784099,42.80001004
446,-105.8784099,42.80001004
447,-105.71025,43.28974999
448,-105.4344399,42.56750001
449,-105.4344399,42.56750001
450,-105.4344399,42.56750001
451,-105.44789,43.39276
452,-105.26626,43.18862997
453,-105.01036,42.72078996
454,-104.9035568,44.58014232
455,-104.9035568,44.58014232
456,-104.9035568,44.58014232
457,-104.7204639,44.45052838
458,-104.7204639,44.45052838
459,-104.7204639,44.45052838
460,-110.01674,43.73527996
461,-109.6508,43.64781003
462,-108.75326,42.58598004
463,-108.68015,42.52865003
464,-108.1550301,42.72297002
465,-107.9769,42.32588999
466,-107.88708,42.91200996
467,-107.91449,43.33009998
468,-107.6654,42.39009001
469,-107.72027,43.11385998
470,-107.72027,43.11385998
471,-107.72027,43.11385998
472,-107.5977,42.58490004
473,-104.59605,42.00304998
474,-104.19528,42.58713004
475,-104.19528,42.58713004
476,-104.19528,42.58713004
477,-108.8885901,43.68867996
478,-106.9174601,43.59445999
479,-106.7811001,43.86019003
480,-106.7811001,43.86019003
481,-106.8543864,44.55551676
482,-106.53105,44.35250998
483,-106.27033,43.80682001
484,-105.1906716,41.54780626
485,-105.1906716,41.54780626
486,-105.1906716,41.54780626
487,-104.33074,41.17664998
488,-110.982973,42.88349671
489,-110.17619,41.95661002
490,-110.17619,41.95661002
491,-107.26465,42.65573996
492,-107.26465,42.65573996
493,-107.20318,42.61932998
494,-106.61977,43.04259002
495,-106.32259,43.11772999
496,-104.81955,42.79056002
497,-104.81955,42.79056002
498,-104.81955,42.79056002
499,-104.40313,43.32969997
500,-104.30606,43.09467002
501,-110.0856637,44.91846863
502,-110.0514145,44.98973175
503,-109.63068,44.45997997
504,-109.18146,44.03020001
505,-109.31752,44.84582998
506,-109.31752,44.84582998
507,-109.31752,44.84582998
508,-109.16205,44.77946004
509,-109.16205,44.77946004
510,-108.9267301,44.32454998
511,-108.68512,44.67805003
512,-105.2522,42.05724999
513,-105.15618,42.01929
514,-106.9060287,44.7719228
515,-106.31735,44.72171998
516,-106.19956,44.75683001
517,-106.19956,44.75683001
518,-106.19956,44.75683001
519,-106.2093898,44.95772118
520,-110.51351,42.50859001
521,-110.51351,42.50859001
522,-110.51351,42.50859001
523,-110.51702,43.17939
524,-110.4823066,43.09546862
525,-110.30444,42.85905004
526,-109.9906085,43.01483355
527,-109.79629,42.44199004
528,-109.75494,42.75410001
529,-109.25182,42.58935999
530,-109.49157,42.00422003
531,-109.49157,42.00422003
532,-109.49157,42.00422003
533,-109.49994,42.14851002
534,-107.9627,42.01393002
535,-107.9627,42.01393002
536,-107.9627,42.01393002
537,-107.52744,41.96574
538,-107.52744,41.96574
539,-107.52744,41.96574
540,-110.64348,43.51083
541,-110.64348,43.51083
542,-110.80649,44.53497
543,-110.5769801,43.69342003
544,-110.5769801,43.69342003
545,-110.5769801,43.69342003
546,-110.66185,44.09124
547,-110.7344173,44.43288644
548,-110.7344173,44.43288644
549,-110.7344173,44.43288644
550,-110.595819,44.31814975
551,-110.595819,44.31814975
552,-110.595819,44.31814975
553,-110.4042,43.60747001
554,-111.01186,41.05630002
555,-110.36232,41.02223003
556,-108.37598,44.10730003
557,-108.37598,44.10730003
558,-108.2077,43.9999
559,-108.2077,43.9999
560,-108.0239,43.88166001
561,-108.0239,43.88166001
562,-107.75538,43.83047004
563,-107.4446201,43.64022998
564,-104.65788,43.57870003
565,-104.65788,43.57870003
566,-104.55727,43.69976
567,-104.55727,43.69976
568,-104.55727,43.69976
569,-104.5425799,43.80058
570,-104.50697,44.13981004
